Cidade;Prof. Sec.;Mecânico;Administrador;Eng. Eletr.
Amsterdam;34.125;26.542;59.280;47.730
Atena;11.025;12.456;31.980;18.870
Bogotá;4.725;3.806;14.040;14.430
Bruxelas;28.350;25.528;59.280;33.855
Buenos Aires;5.775;6.574;21.060;36.075
Caracas;11.550;20.068;45.240;42.180
Chicago;33.600;39.790;60.060;48.285
Cid. México;6.825;8.304;28.860;22.200
Dublin;18.375;13.840;23.400;25.530
Estocolmo;28.875;25.950;54.600;33.855
Genebra;56.700;37.022;71.760;53.835
HongKong;11.550;5.822;20.280;17.205
Istambul;4.725;6.228;13.260;12.210
Londres;20.745;17.646;31.200;21.090
Los Angeles;32.550;36.330;59.280;46.065
Madri;14.700;12.110;32.760;31.635
Manila;2.100;1.730;20.280;4.440
Milão;12.600;13.494;17.160;31.080
Montreal;29.400;23.528;51.480;34.410
Nova Iorque;27.300;32.870;67.080;53.280
Paris;24.150;15.916;40.560;43.845
Rio de Janeiro;7.350;8.650;53.040;42.735
San Francisco;32.025;39.946;65.520;46.065
São Paulo;9.450;11.072;74.470;29.970
Singapura;8.925;5.190;24.960;8.325
Sydney;28.350;20.068;34.320;31.080
Tela Aviv;7.875;9.688;14.040;14.430
Tokyo;30.450;16.954;63.180;34.410
Toronto;29.925;25.950;44.460;39.960
Zurich;52.500;34.600;78.000;55.500
